62 642
1 5 98
1 10 4329
1 11 456
1 12 4661
1 20 1321
1 23 117
1 25 4
1 26 480
1 27 964
1 36 4063
1 41 5728
1 42 6599
1 43 3495
1 44 5695
1 45 2627
1 46 112
1 50 1065
2 21 120
2 22 2473
2 24 589
2 30 356
2 31 4515
2 32 7805
2 33 3617
2 34 908
2 38 668
2 54 7353
2 55 10000
2 56 9948
2 57 7016
2 58 4082
2 59 2955
2 60 6596
3 4 3502
3 9 1
3 10 497
3 12 1254
3 24 1682
3 25 5152
3 26 5720
3 27 1737
3 28 1210
3 29 1255
3 30 587
4 3 3502
4 24 4038
4 25 1918
4 26 1544
4 27 1083
4 28 4251
4 29 5834
4 30 1174
4 34 2967
4 35 1573
5 1 98
5 7 1803
5 10 2564
5 11 4194
5 12 1730
5 13 683
5 14 9
5 16 5705
5 17 5765
5 41 3080
5 42 2932
5 46 3142
5 48 2502
5 49 3139
5 51 607
6 7 927
6 8 2559
6 9 7404
6 11 910
6 13 5593
6 15 258
6 61 5930
6 62 4064
7 5 1803
7 6 927
7 8 1241
7 9 183
7 10 7
7 11 1438
7 12 165
7 13 4271
7 14 3326
7 15 2984
7 16 2735
7 17 3576
7 61 2456
8 6 2559
8 7 1241
8 9 30
8 13 3060
8 14 977
8 15 2194
8 61 1496
8 62 3800
9 3 1
9 6 7404
9 7 183
9 8 30
9 10 178
9 11 2219
9 12 76
9 13 2886
9 25 575
9 26 1067
9 61 5956
9 62 2000
10 1 4329
10 3 497
10 5 2564
10 7 7
10 9 178
10 11 4524
10 12 8411
10 13 534
10 17 936
10 25 1017
10 26 2616
10 41 2403
10 42 3495
10 61 131
11 1 456
11 5 4194
11 6 910
11 7 1438
11 9 2219
11 10 4524
11 12 3427
11 13 2862
11 16 568
11 17 3584
11 26 514
11 41 747
11 42 1778
11 46 12
11 61 2648
12 1 4661
12 3 1254
12 5 1730
12 7 165
12 9 76
12 10 8411
12 11 3427
12 17 888
12 25 1658
12 26 4154
12 27 508
12 36 12
12 41 943
12 42 1850
13 5 683
13 6 5593
13 7 4271
13 8 3060
13 9 2886
13 10 534
13 11 2862
13 15 230
13 16 724
13 17 2441
13 61 5986
13 62 3227
14 5 9
14 7 3326
14 8 977
14 15 6461
14 16 1645
14 17 97
15 6 258
15 7 2984
15 8 2194
15 13 230
15 14 6461
15 16 111
15 61 219
16 5 5705
16 7 2735
16 11 568
16 13 724
16 14 1645
16 15 111
16 17 4247
16 41 50
16 42 51
16 46 513
16 48 1984
16 49 2275
17 5 5765
17 7 3576
17 10 936
17 11 3584
17 12 888
17 13 2441
17 14 97
17 16 4247
17 41 26
17 42 228
17 48 137
17 49 56
17 61 764
18 19 2338
18 20 89
18 23 943
18 37 8187
18 39 82
18 40 4840
18 44 12
18 45 3174
19 18 2338
19 20 539
19 21 1795
19 22 1484
19 23 2574
19 36 311
19 37 1448
19 38 920
19 39 3174
19 40 5309
20 1 1321
20 18 89
20 19 539
20 21 1670
20 23 5704
20 27 2850
20 30 771
20 36 6437
20 37 623
20 44 824
21 2 120
21 19 1795
21 20 1670
21 22 3255
21 23 5648
21 27 1561
21 30 1084
21 31 1416
21 32 234
21 36 2312
21 38 1370
21 39 1488
21 40 980
22 2 2473
22 19 1484
22 21 3255
22 23 1741
22 30 91
22 31 2221
22 32 1568
22 38 6785
22 39 5694
22 40 379
23 1 117
23 18 943
23 19 2574
23 20 5704
23 21 5648
23 22 1741
23 27 2569
23 30 774
23 31 302
23 36 5612
23 37 1262
23 38 644
23 39 612
23 40 1517
23 44 385
24 2 589
24 3 1682
24 4 4038
24 25 57
24 26 543
24 27 1722
24 28 1063
24 29 1968
24 30 4071
24 31 677
24 32 30
24 33 1168
24 34 4337
24 35 2259
25 1 4
25 3 5152
25 4 1918
25 9 575
25 10 1017
25 12 1658
25 24 57
25 26 6116
25 28 1246
25 29 1091
25 61 198
26 1 480
26 3 5720
26 4 1544
26 9 1067
26 10 2616
26 11 514
26 12 4154
26 24 543
26 25 6116
26 27 1586
26 28 0
26 29 24
26 30 33
26 36 13
26 61 261
27 1 964
27 3 1737
27 4 1083
27 12 508
27 20 2850
27 21 1561
27 23 2569
27 24 1722
27 26 1586
27 30 5708
27 31 973
27 36 5233
28 3 1210
28 4 4251
28 24 1063
28 25 1246
28 26 0
28 29 9338
28 34 896
28 35 797
29 3 1255
29 4 5834
29 24 1968
29 25 1091
29 26 24
29 28 9338
29 30 31
29 34 2495
29 35 1943
30 2 356
30 3 587
30 4 1174
30 20 771
30 21 1084
30 22 91
30 23 774
30 24 4071
30 26 33
30 27 5708
30 29 31
30 31 2176
30 32 238
30 33 44
30 34 1324
30 35 576
30 36 2030
31 2 4515
31 21 1416
31 22 2221
31 23 302
31 24 677
31 27 973
31 30 2176
31 32 3874
31 33 1286
31 34 266
31 38 26
31 55 814
32 2 7805
32 21 234
32 22 1568
32 24 30
32 30 238
32 31 3874
32 33 1291
32 34 3
32 54 267
32 55 4078
32 56 1335
32 57 425
33 2 3617
33 24 1168
33 30 44
33 31 1286
33 32 1291
33 34 2427
33 35 271
33 54 583
33 55 3632
33 56 27
33 60 1330
34 2 908
34 4 2967
34 24 4337
34 28 896
34 29 2495
34 30 1324
34 31 266
34 32 3
